,Probe_ID,statistic,pvalue,adj_p_value
544,210107_at,11.15445596,4.21E-12,6.24E-09
922,223597_at,9.760621989,6.17E-11,9.13E-08
1079,227725_at,7.432790008,1.22E-06,1.65E-03
1094,228004_at,7.316920327,3.05E-08,4.39E-05
1277,232707_at,7.216223476,2.63E-07,3.67E-04
826,219955_at,7.067899401,6.09E-08,8.70E-05
1361,236894_at,7.049964318,9.19E-08,1.30E-04
844,220234_at,6.980726443,6.64E-08,9.46E-05
139,203240_at,6.818014095,1.14E-05,1.43E-02
683,214142_at,6.589254633,3.26E-07,4.55E-04
65,1559538_at,6.390745608,1.11E-06,1.51E-03
427,206664_at,6.087685625,8.85E-07,1.21E-03
391,206198_s_at,6.025796522,1.01E-06,1.38E-03
71,1561387_a_at,5.96611424,1.73E-06,2.32E-03
457,207245_at,5.955190146,2.13E-06,2.85E-03
183,204179_at,5.953528945,1.78E-06,2.39E-03
1448,242601_at,5.917575178,8.11E-06,1.03E-02
469,207601_at,5.913920503,4.23E-06,5.53E-03
325,205554_s_at,5.89594149,1.55E-06,2.09E-03
881,221874_at,5.8868743,1.07E-05,1.34E-02
350,205815_at,5.848309181,1.70E-06,2.28E-03
17,1553828_at,5.831278636,1.79E-05,2.19E-02
601,211848_s_at,5.788675517,2.09E-06,2.80E-03
942,223970_at,5.775135318,2.30E-06,3.06E-03
230,204673_at,5.629313553,4.69E-05,5.48E-02
685,214156_at,5.615671513,5.12E-06,6.65E-03
450,207074_s_at,5.554573574,4.20E-06,5.50E-03
1210,230560_at,5.534548583,2.30E-05,2.79E-02
444,207003_at,5.519948174,4.66E-06,6.07E-03
997,226248_s_at,5.513167568,6.44E-05,7.35E-02
834,220026_at,5.455296958,7.18E-06,9.23E-03
341,205776_at,5.423762037,9.88E-06,1.25E-02
1377,238143_at,5.392389091,3.64E-05,4.30E-02
837,220075_s_at,5.325558452,7.89E-06,1.01E-02
853,220622_at,5.292434872,3.48E-05,4.12E-02
689,214261_s_at,5.240356517,1.13E-05,1.42E-02
527,209844_at,5.220233231,1.33E-05,1.65E-02
392,206199_at,5.143396762,4.50E-05,5.27E-02
401,206262_at,5.132945185,1.38E-05,1.71E-02
941,223969_s_at,5.086116647,1.55E-05,1.91E-02
851,220421_at,5.060454163,1.70E-05,2.09E-02
1044,227226_at,5.040682601,1.94E-04,2.06E-01
857,220723_s_at,4.921841977,3.29E-05,3.90E-02
850,220376_at,4.900232721,2.35E-04,2.47E-01
1213,230615_at,4.804346546,3.73E-05,4.39E-02
472,207814_at,4.784337791,3.77E-05,4.44E-02
1061,227506_at,4.772636729,1.18E-04,1.29E-01
454,207214_at,4.7312447,3.47E-04,3.54E-01
855,220645_at,4.729551731,7.54E-05,8.56E-02
467,207529_at,4.723308053,4.51E-05,5.27E-02
476,208063_s_at,4.688993449,8.83E-05,9.93E-02
870,221305_s_at,4.662348926,6.02E-05,6.90E-02
1337,236037_at,4.660454773,5.35E-05,6.20E-02
861,220834_at,4.593688755,9.19E-05,1.03E-01
310,205472_s_at,4.582781764,1.28E-04,1.40E-01
1412,240422_at,4.578968627,7.16E-05,8.14E-02
570,210641_at,4.539902477,8.43E-05,9.50E-02
1422,241547_at,4.520693667,1.61E-04,1.73E-01
858,220724_at,4.491873557,8.87E-05,9.95E-02
397,206209_s_at,4.484815739,1.52E-04,1.64E-01
1074,227676_at,4.462845704,7.14E-04,6.86E-01
365,205942_s_at,4.455650016,1.08E-04,1.20E-01
468,207544_s_at,4.450737598,1.05E-04,1.17E-01
562,210377_at,4.450680666,1.11E-04,1.23E-01
351,205825_at,4.446383991,1.07E-04,1.19E-01
396,206208_at,4.381287057,1.21E-04,1.33E-01
462,207392_x_at,4.348619374,2.32E-04,2.44E-01
1388,238750_at,4.348276314,5.33E-04,5.30E-01
1343,236225_at,4.332645651,3.43E-04,3.50E-01
1439,242098_at,4.309140051,1.52E-04,1.64E-01
458,207249_s_at,4.28729399,2.38E-04,2.49E-01
1111,228338_at,4.278947469,3.85E-04,3.90E-01
372,206000_at,4.268043441,1.08E-03,9.93E-01
1237,231439_at,4.267142167,4.99E-04,4.98E-01
723,215125_s_at,4.211232133,5.02E-04,4.99E-01
1266,232481_s_at,4.169419129,2.24E-04,2.36E-01
78,1568634_a_at,4.137712655,5.33E-04,5.30E-01
1336,235976_at,4.104886091,2.67E-04,2.77E-01
1333,235892_at,4.101714602,3.32E-04,3.40E-01
405,206307_s_at,4.04468978,3.15E-04,3.23E-01
1350,236430_at,4.006966372,4.94E-04,4.94E-01
806,219727_at,3.999039223,8.28E-04,7.84E-01
1256,232176_at,3.984216816,3.67E-04,3.73E-01
1390,238846_at,3.973773445,1.19E-03,1.00E+00
26,1554436_a_at,3.930429466,2.09E-03,1.00E+00
486,208596_s_at,3.877049997,1.17E-03,1.00E+00
169,203924_at,3.860723389,6.18E-04,6.01E-01
36,1555175_a_at,3.859719323,5.44E-04,5.38E-01
1287,233371_at,3.85461349,5.34E-04,5.30E-01
1106,228241_at,3.839378069,3.36E-03,1.00E+00
72,1562921_at,3.81259556,8.72E-04,8.20E-01
1249,232054_at,3.797908411,6.76E-04,6.51E-01
1414,240856_at,3.796702062,9.61E-04,8.95E-01
1368,237521_x_at,3.787535716,2.50E-03,1.00E+00
184,204213_at,3.759546791,1.81E-03,1.00E+00
1140,228915_at,3.756177931,1.16E-03,1.00E+00
1146,229070_at,3.704614231,1.95E-03,1.00E+00
83,1569582_at,3.70208785,8.91E-04,8.37E-01
915,223447_at,3.654118574,3.86E-03,1.00E+00
423,206619_at,3.643893818,9.75E-04,9.06E-01
1359,236840_at,3.5987504,1.10E-03,1.00E+00
1081,227735_s_at,3.596302364,2.12E-03,1.00E+00
1428,241801_at,3.585338108,2.38E-03,1.00E+00
1387,238632_at,3.579802054,1.94E-03,1.00E+00
81,1569433_at,3.566999252,1.43E-03,1.00E+00
1416,241031_at,3.563388928,2.87E-03,1.00E+00
1082,227736_at,3.530640907,2.98E-03,1.00E+00
930,223704_s_at,3.525136338,1.30E-03,1.00E+00
1310,235210_s_at,3.519368749,1.58E-03,1.00E+00
385,206143_at,3.508209684,1.98E-03,1.00E+00
1309,235209_at,3.485955632,1.71E-03,1.00E+00
1127,228653_at,3.450798292,3.07E-03,1.00E+00
1278,232737_s_at,3.425874092,1.70E-03,1.00E+00
9,1552834_at,3.397953359,3.26E-03,1.00E+00
480,208250_s_at,3.38970459,2.97E-03,1.00E+00
1168,229546_at,3.367718232,4.90E-03,1.00E+00
436,206797_at,3.358113689,4.70E-03,1.00E+00
1367,237515_at,3.344188906,2.39E-03,1.00E+00
