"","Gene","statistic","pvalue","adj_p_value"
"1","1053_at"," 7.897039e-01","4.415301e-01","1.000000e+00"
"2","117_at","-2.196952e+00","5.389626e-02","1.000000e+00"
"3","1255_g_at","-1.981365e+00","7.515935e-02","1.000000e+00"
"4","1294_at","-3.958482e-01","6.969350e-01","1.000000e+00"
"5","1316_at"," 7.058194e-01","4.868656e-01","1.000000e+00"
"6","1320_at"," 9.146412e-01","3.753487e-01","1.000000e+00"
"7","1405_i_at","-1.939330e+00","7.163493e-02","1.000000e+00"
"8","1438_at"," 2.257108e+00","4.051832e-02","1.000000e+00"
"9","1487_at"," 3.245693e+00","4.439111e-03","1.000000e+00"
"10","1494_f_at"," 1.711957e+00","1.013638e-01","1.000000e+00"
"11","1552256_a_at"," 4.948102e-01","6.277852e-01","1.000000e+00"
"12","1552257_a_at"," 1.816735e+00","8.876479e-02","1.000000e+00"
"13","1552263_at"," 9.458122e-02","9.261761e-01","1.000000e+00"
"14","1552269_at"," 2.693173e+00","1.460892e-02","1.000000e+00"
"15","1552271_at"," 2.196140e+00","4.196502e-02","1.000000e+00"
"16","1552274_at","-3.618133e+00","1.931646e-03","1.000000e+00"
"17","1552275_s_at","-3.235435e+00","4.454298e-03","1.000000e+00"
"18","1552276_a_at","-8.395856e-01","4.112529e-01","1.000000e+00"
"19","1552277_a_at","-3.303249e+00","4.521659e-03","1.000000e+00"
"20","1552279_a_at","-1.641602e-01","8.722765e-01","1.000000e+00"
"21","1552280_at","-7.817294e-01","4.467772e-01","1.000000e+00"
"22","1552281_at"," 2.933028e+00","8.202877e-03","1.000000e+00"
"23","1552283_s_at","-3.922020e-01","7.000853e-01","1.000000e+00"
"24","1552287_s_at","-3.509588e-01","7.308480e-01","1.000000e+00"
"25","1552288_at","-2.677670e+00","2.438539e-02","1.000000e+00"
"26","1552289_a_at","-2.420513e+00","3.774336e-02","1.000000e+00"
"27","1552291_at"," 1.414075e+00","1.789206e-01","1.000000e+00"
"28","1552293_at"," 2.264847e+00","3.731890e-02","1.000000e+00"
"29","1552295_a_at","-6.679820e+00","3.443750e-06","1.470654e-01"
"30","1552296_at"," 1.825706e+00","8.026049e-02","1.000000e+00"
"31","1552299_at"," 2.669023e+00","1.660353e-02","1.000000e+00"
"32","1552301_a_at","-1.867517e+00","8.370862e-02","1.000000e+00"
"33","1552302_at","-2.271009e+00","4.215793e-02","1.000000e+00"
"34","1552306_at"," 1.605688e+00","1.204722e-01","1.000000e+00"
"35","1552307_a_at","-6.505304e-01","5.226608e-01","1.000000e+00"
"36","1552309_a_at","-5.904690e+00","8.935289e-05","1.000000e+00"
"37","1552310_at"," 1.348210e+00","2.036510e-01","1.000000e+00"
"38","1552311_a_at","-5.286375e-01","6.046187e-01","1.000000e+00"
"39","1552312_a_at","-4.373594e-01","6.688382e-01","1.000000e+00"
"40","1552315_at","-1.602391e+00","1.388698e-01","1.000000e+00"
"41","1552316_a_at","-4.875073e+00","3.501881e-04","1.000000e+00"
"42","1552318_at","-3.353733e+00","6.870966e-03","1.000000e+00"
"43","1552319_a_at","-2.209510e+00","4.558480e-02","1.000000e+00"
"44","1552320_a_at"," 7.854150e-01","4.410736e-01","1.000000e+00"
"45","1552321_a_at","-5.610207e-02","9.561402e-01","1.000000e+00"
"46","1552322_at"," 1.814255e+00","8.008507e-02","1.000000e+00"
"47","1552325_at"," 5.295584e-01","6.052152e-01","1.000000e+00"
"48","1552329_at","-2.516640e+00","2.450687e-02","1.000000e+00"
"49","1552330_at","-3.680238e-02","9.712438e-01","1.000000e+00"
"50","1552332_at"," 1.877638e+00","7.193442e-02","1.000000e+00"
"51","1552334_at"," 1.028088e+00","3.145485e-01","1.000000e+00"
"52","1552338_at"," 9.277659e-01","3.680661e-01","1.000000e+00"
"53","1552340_at"," 9.496005e-01","3.553032e-01","1.000000e+00"
"54","1552344_s_at","-8.662319e-02","9.320115e-01","1.000000e+00"
"55","1552347_at","-9.516155e-01","3.553556e-01","1.000000e+00"
"56","1552348_at"," 1.459210e+00","1.588835e-01","1.000000e+00"
"57","1552349_a_at"," 1.285843e+00","2.078310e-01","1.000000e+00"
"58","1552354_at"," 1.730294e+00","9.392124e-02","1.000000e+00"
"59","1552355_s_at"," 8.979776e-01","3.811898e-01","1.000000e+00"
"60","1552359_at"," 2.403559e+00","2.398055e-02","1.000000e+00"
"61","1552364_s_at"," 2.581835e+00","1.868598e-02","1.000000e+00"
"62","1552365_at"," 1.864196e+00","7.953397e-02","1.000000e+00"
"63","1552367_a_at"," 2.749684e+00","1.229826e-02","1.000000e+00"
"64","1552368_at","-1.888723e+00","8.547182e-02","1.000000e+00"
"65","1552370_at"," 3.348879e+00","2.901258e-03","1.000000e+00"
"66","1552372_at","-1.048812e-01","9.174490e-01","1.000000e+00"
"67","1552373_s_at"," 8.137135e-01","4.225172e-01","1.000000e+00"
"68","1552377_s_at","-7.807861e-01","4.474829e-01","1.000000e+00"
"69","1552378_s_at"," 1.705481e+00","1.038709e-01","1.000000e+00"
"70","1552379_at"," 6.165244e-01","5.473339e-01","1.000000e+00"
"71","1552381_at","-3.189861e-01","7.540506e-01","1.000000e+00"
"72","1552383_at"," 1.449368e+00","1.747445e-01","1.000000e+00"
"73","1552384_a_at"," 1.363658e+00","1.885047e-01","1.000000e+00"
"74","1552386_at","-1.729508e+00","1.102730e-01","1.000000e+00"
"75","1552388_at"," 1.907130e+00","6.800387e-02","1.000000e+00"
"76","1552390_a_at"," 4.759439e-01","6.406222e-01","1.000000e+00"
"77","1552393_at","-1.072061e+00","3.057558e-01","1.000000e+00"
"78","1552395_at"," 9.251955e-01","3.680188e-01","1.000000e+00"
"79","1552396_at"," 1.160417e+00","2.671411e-01","1.000000e+00"
"80","1552398_a_at","-1.244362e+00","2.342748e-01","1.000000e+00"
"81","1552399_a_at"," 1.137120e+00","2.714082e-01","1.000000e+00"
"82","1552400_a_at"," 3.418546e-01","7.376262e-01","1.000000e+00"
"83","1552401_a_at","-6.269784e-01","5.384520e-01","1.000000e+00"
"84","1552402_at"," 2.126703e+00","5.170880e-02","1.000000e+00"
"85","1552405_at"," 1.583986e+00","1.365139e-01","1.000000e+00"
"86","1552408_at","-1.224246e+00","2.377807e-01","1.000000e+00"
"87","1552409_a_at","-6.540621e-01","5.232312e-01","1.000000e+00"
"88","1552410_at","-7.382907e-01","4.694469e-01","1.000000e+00"
"89","1552412_a_at"," 2.980939e-01","7.697864e-01","1.000000e+00"
"90","1552414_at"," 9.713322e-01","3.473398e-01","1.000000e+00"
"91","1552415_a_at"," 1.658547e+00","1.109658e-01","1.000000e+00"
"92","1552417_a_at","-3.608908e-02","9.714519e-01","1.000000e+00"
"93","1552418_at"," 2.081632e+00","5.540185e-02","1.000000e+00"
"94","1552419_s_at"," 9.765426e-01","3.456464e-01","1.000000e+00"
"95","1552421_a_at"," 2.531381e+00","1.712315e-02","1.000000e+00"
"96","1552424_at","-1.211517e+00","2.479434e-01","1.000000e+00"
"97","1552425_a_at"," 7.733801e-01","4.479893e-01","1.000000e+00"
"98","1552426_a_at"," 1.933130e-01","8.499372e-01","1.000000e+00"
"99","1552427_at"," 4.005431e+00","3.839932e-04","1.000000e+00"
"100","1552430_at"," 1.288873e+00","2.179567e-01","1.000000e+00"
"101","1552432_at"," 7.319181e-01","4.752943e-01","1.000000e+00"
"102","1552436_a_at"," 2.874073e-01","7.779320e-01","1.000000e+00"
"103","1552438_a_at","-7.864399e-01","4.401303e-01","1.000000e+00"
"104","1552439_s_at"," 1.898150e+00","7.261275e-02","1.000000e+00"
"105","1552440_at","-6.298524e-01","5.380462e-01","1.000000e+00"
"106","1552445_a_at"," 8.051503e-01","4.268198e-01","1.000000e+00"
"107","1552448_a_at"," 6.124634e-01","5.482412e-01","1.000000e+00"
"108","1552449_a_at"," 3.621984e-01","7.210122e-01","1.000000e+00"
